Downlights;;;;;
Supplier;Name;Product Name;Product;;
Rubicon;Aegeon ;;https://lighting.rubicon.tech/products/rubicon-aegeon-downlight;;
Rubicon;Lean 153;;https://lighting.rubicon.tech/products/rubicon-aegeon-downlight;;
Ledwise;COB-DR;;https://ledwise.co.za/product/cob-dr/;;
Ledwise;X-TF8;;https://ledwise.co.za/product/x-tf8/ ;;
Ledwise;COB-R-SQ1;;https://ledwise.co.za/product/cob-r-sq1/;;
Ledwise;COB-R-SQ2;;https://ledwise.co.za/product/cob-r-sq2/ ;;
Ledwise;COB-R-SQ3;;https://ledwise.co.za/product/cob-r-sq3/ ;;
Pioled;Sauron;;https://pioledlighting.co.za/product/25-20-18-16w-sauron-3cct-led-round-downlight/ ;;
Pioled;legend;;https://pioledlighting.co.za/product-category/interior-led-lighting/high-powered-downlights-interior-led-lighting/legend-3cct-round-downlights/ ;;
Pioled;GU10;;https://pioledlighting.co.za/product-category/interior-led-lighting/gu10-fixtures-and-accessories-interior-led-lighting/ ;;
Pioled;Pakman;;https://pioledlighting.co.za/product-category/interior-led-lighting/tiltable-downlighters/pakman-round-tilt-downlighter/ ;;
Pioled;Mario;;https://pioledlighting.co.za/product/35w-mario-round-tilt-led-downlighter/ ;;
