Linears;;;;
Supplier;Name;Product;;
OrbitX;Puck Seamless;https://www.orbitx.co.za/products/puck-seamless ;;
OrbitX;Puck Profile 70x36;https://www.orbitx.co.za/pdfs/OrbitX-Puck-Profile-70x36-specifications.pdf ;;
OrbitX;Puck Profile 40x43;https://www.orbitx.co.za/pdfs/OrbitX-Puck-Profile-40x43-specifications.pdf ;;
OrbitX;Kepler;https://www.orbitx.co.za/pdfs/OrbitX-Kepler-specifications.pdf ;;
Ledwise;LDS5083;https://ledwise.co.za/product/lds-5083/ ;;
Ledwise;LDR6563;https://ledwise.co.za/product/ldr-6563/ ;;
Ledwise;LRD9063;https://ledwise.co.za/product/ldr-9063-c/ ;;
Ledwise;BASE;https://ledwise.co.za/product/bace/ ;;
Ledwise;ACE;https://ledwise.co.za/product/ace/ ;;
Rubicon;Protega Gen 2;https://lighting.rubicon.tech/products/protega-gen2?_pos=2&_sid=3dea51d13&_ss=r ;;
Rubicon;Thermisto;https://lighting.rubicon.tech/products/themisto-lensed?_pos=16&_sid=3dea51d13&_ss=r ;;
Rubicon;LF40;https://lighting.rubicon.tech/products/light-frame-40?_pos=22&_sid=3dea51d13&_ss=r ;;
Rubicon;LF20;https://lighting.rubicon.tech/products/rubicon-light-frame-20-linear?_pos=15&_sid=3dea51d13&_ss=r ;;
Rubicon;LF55;https://lighting.rubicon.tech/products/light-frame-family-55-55x80-80;;
Pioled;Soniq ;https://pioledlighting.co.za/product-category/interior-led-lighting/linear-lights-interior-led-lighting/soniq-3-wattage-seamless-linkable-linear-lights-linear-lights-interior-led-lighting-interior-led-lighting/soniq-3-wattage-seamless-linkable-linear-lights-linear-lights-interior-led-lighting/ ;;
